Sex,Sex_Simple,RaceEthnic,SSLast,SSLast_Corrected,Any1_20,Year,Job,Smartphone,Laptop,Cellphone,NoTech,APStats,OtherStats,Understood_Then,Remember_Now,Transfer,MathAnxious,StatsAnxious,Interest,GradePredict,Choc_Effect,Choc_Means,Choc_SD,Choc_Rating,Choc_TestItems,Choc_Kind,Choc_ChooseOne,Choc_DiffExpect,Thumb,Index,Middle,Ring,Pinkie,Height,Weight,Athletic,Hard_Working,Aggressive,Risk_Taker,Friendly,High_Math,Measured_Right,Short_Tall,FingerAVG,Finger_Ratio,TestoSum,RES_1,filter_$
3, ,1,2,2,7,3,3,1,0,0,0,2,2, , ,2,2,2,2,3,1,1,1,0,1,0,2,3,60,70,75,70,60,62.5,207,1,5,1,2,3,3,1,1,67,1,4,2.64410779723337, 
1,1,1,6,6,7,3,3,1,1,0,0,2,1,2,4,1,4,3,1,1,2,1,1,0,1,0,1,1,49,66,70,62,50,64,122,5,4,3,3,4,3,1,1,59.4,1.06451612903226,11,-6.57394429313633,1
1,1,3,1,1,7,3,2,1,1,0,0,2,2, , ,2,4,2,3,2,2,1,1,0,0,0,1,4,47,63,70,65,56,65,138,5,5,3,5,5,4,1,1,60.2,.969230769230769,13,-6.85264568671613,1
1,1,4, , ,7,2,2,1,1,0,0,1,2,2,4,2,2,2,2,2,2,1,1,0,0,1,1,2,75,89,95,85,70,66,185,5,4,4,5,5,4,1,2,82.8,1.04705882352941,14,14.6686529197041,1
1,1,3,3,3,5,2,2,1,1,0,0,2,1,2,3,2,4,4,1,1,2,1,1,0,0,0,1,4,55,77,86,78,61,66,115,2,4,3,3,5,4,1,2,71.4,.987179487179487,8,3.26865291970408,1
1,1,1,4,4,17,3,2,1,0,0,0,2,1,2,3,1,3,3,1,1,2,1,1,0,1,0,1,1,64,76,83,79,66,66,135,3,5,3,4,5,4,1,2,73.6,.962025316455696,10,5.46865291970407,1
1,1,3,2,2,17.38,1,3,1,0,0,0,1,1,2,4,2,2,2,3,2,2,1,1,0,0,0,2,1,70,96,100,93,69,66.5,120,1,4,2,1,4,4,1,2,85.6,1.03225806451613,4,16.9293022229142,1
1,1,3,5,5,10,3,3,1,1,0,0,1,1,1,2,2,4,4,1,2,2,1,1,0,0,0,2,1,4,6,7,6,4,66.5,160,4,5,4,3,3,3,0,2,5.4,1,11, ,0
1,1,3,2,2,9,2,2,1,1,0,0,2,1,2,5,2,4,2,2,2,3,0,1,1,1,1,1,1,53,74,81,75,62,67,158,4,2,4,2,4,3,1,2,69,.986666666666667,10,-.21004847387573,1
1,1,3,8,8,7,2,3,1,1,0,0,2,2, , ,2,2,2,2,3,1,1,1,0,1,0,2,4,6,7,9,8,7,67,130,5,5,3,3,5,3,0,2,7.4,.875,11, ,0
