Sex,RaceEthnic,FamilyMembers,SSLast,Year,Job,MathAnxious,Interest,GradePredict,Thumb,Index,Middle,Ring,Pinkie,Height,Weight
male,3,7,NA,3,0,1,0,3.3,66,79,84,74,57,70.5,188
female,3,5,7,2,0,1,1,3.7,64,73,80,75,62,64.8,127
female,4,2,2,2,1,-1,2,3.3,56,69,76,71,54,64,195
male,3,4,9,2,1,2,2,4,58.42,76.2,91.4,76.2,63.5,70,145
female,3,3,8,3,1,0,1,3.7,74,79,83,76,64,68,150
female,1,8,7,3,1,2,0,4,60,64,70,65,58,68,122
male,3,2,3,2,1,-1,2,4,70,80,90,70,65,69,175
female,4,6,0,2,1,2,2,3.7,55,62,75,70,54,65.7,129
female,3,4,3,2,0,0,1,4,60,74,78,73,57,62.5,120
female,3,1,NA,1,0,-1,1,4,52,66,74,70,53,63.4,130
female,1,7,7,1,0,-1,2,4,60,70,74,68,59,68.5,149
male,1,5,7,2,0,-2,2,3.7,59,83,87,79,64,72,155
female,2,5,2,3,1,1,1,4,60,65,70,70,58,65,138
male,5,2,9,3,0,2,2,4,64,76,89,76,69,70,180
female,3,4,9,2,1,1,1,3.3,50,63,72,65,55,61.5,120
female,1,8,3,1,0,-1,2,3,60,72,74,70,58,65.5,110
female,1,2,7,2,1,0,1,3.3,61,73,77,75,64,67,148
male,3,7,7037,3,0,2,1,3.3,67,83,95,86,75,71,145
female,4,1,4,3,1,2,0,2.3,55,60,75,60,60,62,125
male,1,4,9,3,1,-1,1,4,60,70,76,72,55,67.5,130
female,1,5,3,2,0,0,0,3.7,51,54,59,56,50,64,110
female,4,3,5,2,0,1,1,3,54,65,76,72,48,60.5,115
female,1,5,8,2,1,-1,1,3.7,60,80,85,65,55,65,130
male,4,3,3,3,1,-2,2,4,70,75,83,78,60,69,180
female,4,4,8,2,0,0,1,3,51,61,70,63,51,59,112
female,3,1,3364,2,0,2,1,3,50,70,80,70,60,62,124
female,4,3,4,3,1,0,2,4,49,70,74,69,52,69.5,140
female,1,6,5,1,0,-1,1,3.7,54,66,75,68,52,66.5,112
